object_a,object_b,standardized_14d_descriptor_distance,exact_file_hash_duplicate,scope,distance_rank
b871,b943,4.00889545226757,False,coarse descriptor only; not a semantic or registered-shape equivalence test,76
b943,b97b,4.119156146143032,False,coarse descriptor only; not a semantic or registered-shape equivalence test,77
b827,b97b,4.148111058655593,False,coarse descriptor only; not a semantic or registered-shape equivalence test,78
b97b,ba0f,4.2246670276543465,False,coarse descriptor only; not a semantic or registered-shape equivalence test,79
bb7c,bbc6,4.234301281387078,False,coarse descriptor only; not a semantic or registered-shape equivalence test,80
b812,bbc6,4.236883896829555,False,coarse descriptor only; not a semantic or registered-shape equivalence test,81
b827,b8ed,4.3130325938603615,False,coarse descriptor only; not a semantic or registered-shape equivalence test,82
b827,baa9,4.3201093823198455,False,coarse descriptor only; not a semantic or registered-shape equivalence test,83
b9e6,bbc6,4.324840934878867,False,coarse descriptor only; not a semantic or registered-shape equivalence test,84
b827,b905,4.356201258538474,False,coarse descriptor only; not a semantic or registered-shape equivalence test,85
b7c1,bbc6,4.390901890867899,False,coarse descriptor only; not a semantic or registered-shape equivalence test,86
b905,bbc6,4.469804707071237,False,coarse descriptor only; not a semantic or registered-shape equivalence test,87
b7c1,b827,4.5834264242909,False,coarse descriptor only; not a semantic or registered-shape equivalence test,88
b943,bbc6,4.678980460256574,False,coarse descriptor only; not a semantic or registered-shape equivalence test,89
b827,b943,4.707081309912497,False,coarse descriptor only; not a semantic or registered-shape equivalence test,90
b8ed,b979,4.797357684288826,False,coarse descriptor only; not a semantic or registered-shape equivalence test,91
b80b,bbc6,4.805854876988767,False,coarse descriptor only; not a semantic or registered-shape equivalence test,92
b80b,ba0f,4.916709241729653,False,coarse descriptor only; not a semantic or registered-shape equivalence test,93
b871,ba0f,4.995954952091524,False,coarse descriptor only; not a semantic or registered-shape equivalence test,94
b8ed,bbc6,5.078369070006434,False,coarse descriptor only; not a semantic or registered-shape equivalence test,95
b9e6,ba0f,5.128623264134901,False,coarse descriptor only; not a semantic or registered-shape equivalence test,96
b812,ba0f,5.3489346696865345,False,coarse descriptor only; not a semantic or registered-shape equivalence test,97
b7fd,bb7c,5.350657382538957,False,coarse descriptor only; not a semantic or registered-shape equivalence test,98
b905,b979,5.479827224834408,False,coarse descriptor only; not a semantic or registered-shape equivalence test,99
b905,ba0f,5.495988598540797,False,coarse descriptor only; not a semantic or registered-shape equivalence test,100
b7c1,b979,5.517319867828444,False,coarse descriptor only; not a semantic or registered-shape equivalence test,101
b7fd,b9e6,5.5655760748964545,False,coarse descriptor only; not a semantic or registered-shape equivalence test,102
b974,ba0f,5.57775054383022,False,coarse descriptor only; not a semantic or registered-shape equivalence test,103
b979,bb7c,5.581216696769295,False,coarse descriptor only; not a semantic or registered-shape equivalence test,104
b7fd,b979,5.604831461610679,False,coarse descriptor only; not a semantic or registered-shape equivalence test,105
b943,bb26,5.623357032358101,False,coarse descriptor only; not a semantic or registered-shape equivalence test,106
ba0f,baa9,5.716232276807835,False,coarse descriptor only; not a semantic or registered-shape equivalence test,107
b97b,bb7d,5.725684988793014,False,coarse descriptor only; not a semantic or registered-shape equivalence test,108
b974,b979,5.745152044705128,False,coarse descriptor only; not a semantic or registered-shape equivalence test,109
bb26,bb7c,5.785426580358559,False,coarse descriptor only; not a semantic or registered-shape equivalence test,110
b7fd,b905,5.795318542474012,False,coarse descriptor only; not a semantic or registered-shape equivalence test,111
b7c1,ba0f,5.817473442447574,False,coarse descriptor only; not a semantic or registered-shape equivalence test,112
b80b,b979,5.8452291978670665,False,coarse descriptor only; not a semantic or registered-shape equivalence test,113
ba0f,bb7c,5.879955592048931,False,coarse descriptor only; not a semantic or registered-shape equivalence test,114
b8ed,ba0f,5.88868912532143,False,coarse descriptor only; not a semantic or registered-shape equivalence test,115
b7fd,b80b,5.932610226686033,False,coarse descriptor only; not a semantic or registered-shape equivalence test,116
b979,b9e6,5.940407362735025,False,coarse descriptor only; not a semantic or registered-shape equivalence test,117
bbc6,bc2c,6.0066189925861675,False,coarse descriptor only; not a semantic or registered-shape equivalence test,118
b943,b979,6.0269396069539125,False,coarse descriptor only; not a semantic or registered-shape equivalence test,119
b979,baa9,6.0698808503143225,False,coarse descriptor only; not a semantic or registered-shape equivalence test,120
b827,ba0f,6.087374033960577,False,coarse descriptor only; not a semantic or registered-shape equivalence test,121
b974,bc2c,6.128178894859998,False,coarse descriptor only; not a semantic or registered-shape equivalence test,122
b905,bb26,6.169447947681113,False,coarse descriptor only; not a semantic or registered-shape equivalence test,123
b812,b979,6.169707305878215,False,coarse descriptor only; not a semantic or registered-shape equivalence test,124
b974,bb26,6.231778452135207,False,coarse descriptor only; not a semantic or registered-shape equivalence test,125
b7c1,bb7d,6.253719961871051,False,coarse descriptor only; not a semantic or registered-shape equivalence test,126
b812,bc2c,6.2564487709279994,False,coarse descriptor only; not a semantic or registered-shape equivalence test,127
b7fd,b943,6.389422603375173,False,coarse descriptor only; not a semantic or registered-shape equivalence test,128
b905,bb7d,6.3906250133083145,False,coarse descriptor only; not a semantic or registered-shape equivalence test,129
b8ed,bb7d,6.41476409588403,False,coarse descriptor only; not a semantic or registered-shape equivalence test,130
b827,bc2c,6.465873135534785,False,coarse descriptor only; not a semantic or registered-shape equivalence test,131
b7fd,b974,6.474231347689469,False,coarse descriptor only; not a semantic or registered-shape equivalence test,132
b7fd,b8ed,6.506728360814779,False,coarse descriptor only; not a semantic or registered-shape equivalence test,133
b979,bb7d,6.516728533560822,False,coarse descriptor only; not a semantic or registered-shape equivalence test,134
b80b,bb7d,6.518098529496774,False,coarse descriptor only; not a semantic or registered-shape equivalence test,135
baa9,bb7d,6.5258051231973315,False,coarse descriptor only; not a semantic or registered-shape equivalence test,136
b9e6,bc2c,6.5304939011986765,False,coarse descriptor only; not a semantic or registered-shape equivalence test,137
baa9,bb26,6.603998225420581,False,coarse descriptor only; not a semantic or registered-shape equivalence test,138
b871,b979,6.6270253562541335,False,coarse descriptor only; not a semantic or registered-shape equivalence test,139
b943,ba0f,6.651192272319879,False,coarse descriptor only; not a semantic or registered-shape equivalence test,140
b7fd,b812,6.69974884134212,False,coarse descriptor only; not a semantic or registered-shape equivalence test,141
bb26,bbc6,6.720524242083269,False,coarse descriptor only; not a semantic or registered-shape equivalence test,142
b97b,bc2c,6.724862807857402,False,coarse descriptor only; not a semantic or registered-shape equivalence test,143
b871,bc2c,6.73340003680551,False,coarse descriptor only; not a semantic or registered-shape equivalence test,144
ba0f,bb7d,6.778025651773153,False,coarse descriptor only; not a semantic or registered-shape equivalence test,145
b80b,bc2c,6.778983254553577,False,coarse descriptor only; not a semantic or registered-shape equivalence test,146
b827,b979,6.794294258769328,False,coarse descriptor only; not a semantic or registered-shape equivalence test,147
b943,bc2c,6.86736900660646,False,coarse descriptor only; not a semantic or registered-shape equivalence test,148
ba0f,bbc6,6.872323858321894,False,coarse descriptor only; not a semantic or registered-shape equivalence test,149
b7c1,bb26,6.889999646911051,False,coarse descriptor only; not a semantic or registered-shape equivalence test,150
bb7c,bc2c,6.908456966808304,False,coarse descriptor only; not a semantic or registered-shape equivalence test,151
b80b,bb26,6.93384765188547,False,coarse descriptor only; not a semantic or registered-shape equivalence test,152
b9e6,bb26,6.943734924711329,False,coarse descriptor only; not a semantic or registered-shape equivalence test,153
b979,b97b,6.946806902499822,False,coarse descriptor only; not a semantic or registered-shape equivalence test,154
baa9,bc2c,7.022909353603675,False,coarse descriptor only; not a semantic or registered-shape equivalence test,155
b974,bb7d,7.028588572650625,False,coarse descriptor only; not a semantic or registered-shape equivalence test,156
b7c1,b7fd,7.047594203440508,False,coarse descriptor only; not a semantic or registered-shape equivalence test,157
b7fd,ba0f,7.072477656173982,False,coarse descriptor only; not a semantic or registered-shape equivalence test,158
bb7c,bb7d,7.139254563260557,False,coarse descriptor only; not a semantic or registered-shape equivalence test,159
b871,bb7d,7.173220592133387,False,coarse descriptor only; not a semantic or registered-shape equivalence test,160
b8ed,bb26,7.200450907312946,False,coarse descriptor only; not a semantic or registered-shape equivalence test,161
b7c1,bc2c,7.209041598433183,False,coarse descriptor only; not a semantic or registered-shape equivalence test,162
b7fd,b827,7.21774898128387,False,coarse descriptor only; not a semantic or registered-shape equivalence test,163
b905,bc2c,7.249599829573558,False,coarse descriptor only; not a semantic or registered-shape equivalence test,164
b7fd,baa9,7.270064320460938,False,coarse descriptor only; not a semantic or registered-shape equivalence test,165
b8ed,bc2c,7.291126255191286,False,coarse descriptor only; not a semantic or registered-shape equivalence test,166
b7fd,b97b,7.303353083961082,False,coarse descriptor only; not a semantic or registered-shape equivalence test,167
b812,bb26,7.373656568413187,False,coarse descriptor only; not a semantic or registered-shape equivalence test,168
b9e6,bb7d,7.458881840167948,False,coarse descriptor only; not a semantic or registered-shape equivalence test,169
b7fd,b871,7.599556586668741,False,coarse descriptor only; not a semantic or registered-shape equivalence test,170
b812,bb7d,7.694302622707139,False,coarse descriptor only; not a semantic or registered-shape equivalence test,171
b97b,bb26,7.716263444191704,False,coarse descriptor only; not a semantic or registered-shape equivalence test,172
b943,bb7d,7.769838618836395,False,coarse descriptor only; not a semantic or registered-shape equivalence test,173
b979,bb26,7.780927741706294,False,coarse descriptor only; not a semantic or registered-shape equivalence test,174
b979,bbc6,7.926879549865774,False,coarse descriptor only; not a semantic or registered-shape equivalence test,175
bb26,bc2c,7.9304180760562275,False,coarse descriptor only; not a semantic or registered-shape equivalence test,176
b871,bb26,7.946280282433028,False,coarse descriptor only; not a semantic or registered-shape equivalence test,177
b7fd,bb7d,8.019094483728697,False,coarse descriptor only; not a semantic or registered-shape equivalence test,178
b827,bb26,8.061184091256258,False,coarse descriptor only; not a semantic or registered-shape equivalence test,179
bb7d,bbc6,8.140930019127522,False,coarse descriptor only; not a semantic or registered-shape equivalence test,180
b7fd,bb26,8.327485421868909,False,coarse descriptor only; not a semantic or registered-shape equivalence test,181
ba0f,bc2c,8.362985637558852,False,coarse descriptor only; not a semantic or registered-shape equivalence test,182
b979,ba0f,8.51666883057816,False,coarse descriptor only; not a semantic or registered-shape equivalence test,183
b827,bb7d,8.684010352530576,False,coarse descriptor only; not a semantic or registered-shape equivalence test,184
b7fd,bbc6,8.773424067933576,False,coarse descriptor only; not a semantic or registered-shape equivalence test,185
bb26,bb7d,9.613421208940078,False,coarse descriptor only; not a semantic or registered-shape equivalence test,186
b979,bc2c,9.844946480234166,False,coarse descriptor only; not a semantic or registered-shape equivalence test,187
b7fd,bc2c,10.375139555013398,False,coarse descriptor only; not a semantic or registered-shape equivalence test,188
bb7d,bc2c,10.4049345518614,False,coarse descriptor only; not a semantic or registered-shape equivalence test,189
ba0f,bb26,10.442635392659774,False,coarse descriptor only; not a semantic or registered-shape equivalence test,190
